ANNO,ALGORITMO,SCORE,VALUE,TEST,TRAIN,PREDICTOR,CENTRALITY
1993,deepwalk,macro-F1,0.5850744876942733,780,837,Logistic Regression,eigenvector
1993,deepwalk,micro-F1,0.691025641025641,780,837,Random Forest,eigenvector
1993,deepwalk,macro-F1,0.5392247207499085,780,837,Random Forest,eigenvector
1993,ctdne,micro-F1,0.6756410256410257,780,837,Logistic Regression,eigenvector
1993,ctdne,macro-F1,0.530825471111543,780,837,Logistic Regression,eigenvector
1993,ctdne,micro-F1,0.6641025641025641,780,837,Random Forest,eigenvector
1993,ctdne,macro-F1,0.5116452365400626,780,837,Random Forest,eigenvector
1993,tnodeembedding,micro-F1,0.6756410256410257,780,837,Logistic Regression,eigenvector
1993,tnodeembedding,macro-F1,0.5482328800973553,780,837,Logistic Regression,eigenvector
1993,tnodeembedding,micro-F1,0.6871794871794872,780,837,Random Forest,eigenvector
1993,tnodeembedding,macro-F1,0.5415208049672651,780,837,Random Forest,eigenvector
1993,WALKHUBS2VEC,micro-F1,0.29615384615384616,780,837,Logistic Regression,eigenvector
1993,WALKHUBS2VEC,macro-F1,0.1540527807686578,780,837,Logistic Regression,eigenvector
1993,WALKHUBS2VEC,micro-F1,0.30641025641025643,780,837,Random Forest,eigenvector
1993,WALKHUBS2VEC,macro-F1,0.15067792514052294,780,837,Random Forest,eigenvector
